HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
Liverpool,Norwich,2012/2013,2013-01-19,M Oliver,1.0,0.0,-1.0,1.0,-1.0,0.0,3.0,-1.0,-2.0,11.0,5.0,-4,37.0,28.0,1,0,0,0,6,23,23,Home Win,5.0,0.0,5.0,5.0
QPR,Norwich,2012/2013,2013-02-02,J Moss,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,-2.0,5.0,-11.0,7,-7.0,1.0,0,0,0,0,7,25,25,Draw,0.0,0.0,0.0,0.0
Wigan,Norwich,2012/2013,2013-03-30,H Webb,0.0,-2.0,2.0,1.0,0.0,-1.0,1.0,-2.0,1.0,0.0,-7.0,4,24.0,19.0,0,0,0,0,8,30,31,Home Win,1.0,0.0,1.0,1.0
Stoke,Norwich,2012/2013,2013-04-27,A Taylor,0.0,-3.0,3.0,0.0,-2.0,2.0,0.0,-1.0,1.0,-1.0,-1.0,2,1.0,-11.0,0,0,0,0,9,35,35,Home Win,1.0,0.0,1.0,1.0
West Brom,Norwich,2012/2013,2012-12-22,M Atkinson,-2.0,1.0,1.0,1.0,-3.0,2.0,-2.0,-1.0,3.0,-6.0,2.0,-2,7.0,-1.0,0,0,0,0,5,18,18,Home Win,2.0,1.0,1.0,3.0
Man City,Norwich,2012/2013,2013-05-19,M Halsey,3.0,-2.0,-1.0,2.0,0.0,-2.0,1.0,1.0,-2.0,1.0,37.0,-9,38.0,28.0,1,0,0,0,10,38,38,Home Loss,2.0,3.0,-1.0,5.0
Arsenal,Norwich,2012/2013,2013-04-13,M Jones,3.0,-3.0,0.0,2.0,-1.0,-1.0,4.0,-3.0,-1.0,11.0,21.0,-9,51.0,31.0,1,0,0,0,9,32,33,Home Win,3.0,1.0,2.0,4.0
Everton,Norwich,2012/2013,2012-11-24,M Jones,1.0,0.0,-1.0,1.0,0.0,-1.0,-2.0,1.0,1.0,-3.0,6.0,-7,37.0,23.0,0,0,0,0,4,13,13,Draw,1.0,1.0,0.0,2.0
Sunderland,Norwich,2012/2013,2013-03-17,C Foy,0.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0,3.0,-2.0,-3.0,2,8.0,-1.0,0,0,0,0,8,30,30,Draw,1.0,1.0,0.0,2.0
Swansea,Norwich,2012/2013,2012-12-08,H Webb,-1.0,2.0,-1.0,1.0,-3.0,2.0,1.0,-1.0,0.0,3.0,4.0,-6,18.0,16.0,0,0,0,0,5,16,16,Home Loss,3.0,4.0,-1.0,7.0
Man United,Norwich,2012/2013,2013-03-02,N Swarbrick,5.0,-3.0,-2.0,2.0,1.0,-3.0,3.0,-2.0,-1.0,10.0,36.0,-10,1.0,0.0,1,0,0,0,8,28,28,Home Win,4.0,0.0,4.0,4.0
West Ham,Norwich,2012/2013,2013-01-01,M Clattenburg,-3.0,2.0,1.0,0.0,-2.0,2.0,-1.0,1.0,0.0,0.0,-2.0,0,-5.0,-5.0,0,0,1,0,6,20,21,Home Win,2.0,1.0,1.0,3.0
Southampton,Norwich,2012/2013,2012-11-28,M Clattenburg,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,-2.0,2.0,-1.0,-4.0,4,15.0,15.0,0,0,1,0,4,14,14,Draw,1.0,1.0,0.0,2.0
Liverpool,West Brom,2012/2013,2013-02-11,J Moss,3.0,-2.0,-1.0,1.0,1.0,-2.0,2.0,1.0,-3.0,11.0,2.0,-2,23.0,16.0,1,0,0,0,7,26,26,Home Loss,0.0,2.0,-2.0,2.0
