HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,HOME_TEAM_LAST_5_HOME_WINS,AWAY_TEAM_LAST_5_HOME_WINS,HOME_TEAM_LAST_5_HOME_DRAWS,AWAY_TEAM_LAST_5_HOME_DRAWS,HOME_TEAM_LAST_5_HOME_LOSSES,AWAY_TEAM_LAST_5_HOME_LOSSES,HOME_TEAM_LAST_5_AWAY_WINS,AWAY_TEAM_LAST_5_AWAY_WINS,HOME_TEAM_LAST_5_AWAY_DRAWS,AWAY_TEAM_LAST_5_AWAY_DRAWS,HOME_TEAM_LAST_5_AWAY_LOSSES,AWAY_TEAM_LAST_5_AWAY_LOSSES,HOME_TEAM_WINS_LAST_5,AWAY_TEAM_WINS_LAST_5,HOME_TEAM_DRAWS_LAST_5,AWAY_TEAM_DRAWS_LAST_5,HOME_TEAM_LOSSES_LAST_5,AWAY_TEAM_LOSSES_LAST_5,HOME_TEAM_GD_LAST_5,AWAY_TEAM_GD_LAST_5,HOME_TEAM_PTS,AWAY_TEAM_PTS,HOME_TEAM_POSITION,AWAY_TEAM_POSITION,HOME_TEAM_SHOTS_LAST_5,AWAY_TEAM_SHOTS_LAST_5,HOME_TEAM_SHOTS_ON_TARGET_LAST_5,AWAY_TEAM_SHOTS_ON_TARGET_LAST_5,H2H_HOME_TEAM_PTS,H2H_AWAY_TEAM_PTS,H2H_HOME_TEAM_GOALS,H2H_AWAY_TEAM_GOALS,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,DIFF_HA_H2H_PTS,DIFF_HA_H2H_GOALS,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
Liverpool,Norwich,2012/2013,2013-01-19,M Oliver,4.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,7.0,-4.0,31.0,26.0,8,12,89.0,52.0,50.0,22.0,7.0,1.0,9.0,3.0,1.0,0.0,-1.0,1.0,-1.0,0.0,3.0,-1.0,-2.0,11.0,5.0,-4,37.0,28.0,6.0,6.0,1,0,0,0,6,23,23,Home Win,5.0,0.0,5.0,5.0
QPR,Norwich,2012/2013,2013-02-02,J Moss,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,1.0,3.0,-2.0,-7.0,16.0,27.0,20,13,40.0,47.0,22.0,21.0,1.0,7.0,3.0,5.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,-2.0,5.0,-11.0,7,-7.0,1.0,-6.0,-2.0,0,0,0,0,7,25,25,Draw,0.0,0.0,0.0,0.0
Wigan,Norwich,2012/2013,2013-03-30,H Webb,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,-3.0,-3.0,27.0,34.0,17,13,60.0,36.0,42.0,23.0,2.0,5.0,3.0,4.0,0.0,-2.0,2.0,1.0,0.0,-1.0,1.0,-2.0,1.0,0.0,-7.0,4,24.0,19.0,-3.0,-1.0,0,0,0,0,8,30,31,Home Win,1.0,0.0,1.0,1.0
Stoke,Norwich,2012/2013,2013-04-27,A Taylor,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,-3.0,-2.0,37.0,38.0,15,13,53.0,52.0,20.0,31.0,4.0,4.0,2.0,2.0,0.0,-3.0,3.0,0.0,-2.0,2.0,0.0,-1.0,1.0,-1.0,-1.0,2,1.0,-11.0,0.0,0.0,0,0,0,0,9,35,35,Home Win,1.0,0.0,1.0,1.0
West Brom,Norwich,2012/2013,2012-12-22,M Atkinson,2.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,3.0,0.0,-3.0,3.0,27.0,25.0,6,8,57.0,50.0,31.0,32.0,3.0,3.0,2.0,2.0,-2.0,1.0,1.0,1.0,-3.0,2.0,-2.0,-1.0,3.0,-6.0,2.0,-2,7.0,-1.0,0.0,0.0,0,0,0,0,5,18,18,Home Win,2.0,1.0,1.0,3.0
Man City,Norwich,2012/2013,2013-05-19,M Halsey,5.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,78.0,41.0,2,11,87.0,49.0,54.0,26.0,9.0,0.0,15.0,5.0,3.0,-2.0,-1.0,2.0,0.0,-2.0,1.0,1.0,-2.0,1.0,37.0,-9,38.0,28.0,9.0,10.0,1,0,0,0,10,38,38,Home Loss,2.0,3.0,-1.0,5.0
Arsenal,Norwich,2012/2013,2013-04-13,M Jones,4.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,1.0,2.0,6.0,-5.0,56.0,35.0,5,14,83.0,32.0,51.0,20.0,4.0,4.0,5.0,5.0,3.0,-3.0,0.0,2.0,-1.0,-1.0,4.0,-3.0,-1.0,11.0,21.0,-9,51.0,31.0,0.0,0.0,1,0,0,0,9,32,33,Home Win,3.0,1.0,2.0,4.0
Everton,Norwich,2012/2013,2012-11-24,M Jones,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,20.0,14.0,5,12,90.0,53.0,48.0,25.0,2.0,2.0,3.0,3.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-2.0,1.0,1.0,-3.0,6.0,-7,37.0,23.0,0.0,0.0,0,0,0,0,4,13,13,Draw,1.0,1.0,0.0,2.0
Sunderland,Norwich,2012/2013,2013-03-17,C Foy,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,3.0,4.0,1.0,-5.0,-3.0,30.0,33.0,15,13,51.0,43.0,28.0,29.0,3.0,6.0,5.0,4.0,0.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0,3.0,-2.0,-3.0,2,8.0,-1.0,-3.0,1.0,0,0,0,0,8,30,30,Draw,1.0,1.0,0.0,2.0
Swansea,Norwich,2012/2013,2012-12-08,H Webb,2.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0,5.0,2.0,23.0,19.0,6,12,62.0,44.0,38.0,22.0,0.0,6.0,3.0,6.0,-1.0,2.0,-1.0,1.0,-3.0,2.0,1.0,-1.0,0.0,3.0,4.0,-6,18.0,16.0,-6.0,-3.0,0,0,0,0,5,16,16,Home Loss,3.0,4.0,-1.0,7.0
